Number,Title,Author,State,CreatedAt,ClosedAt,Area,Type,Reactions,URL,Comments,Priority,Milestone
"679","[UX] Query execution time during query is running","lw-schick","CLOSED","2017-02-06T07:40:56Z","2025-04-02T16:49:06Z","Query Result","Feature Request","3","https://github.com/microsoft/vscode-mssql/issues/679","7","2","April 2025 Release"
"678","Modify peek definition code after fix to ConnectedBindingQueue and ConnectionService.","sharonravindran","CLOSED","2017-02-04T01:50:17Z","2019-10-30T18:40:30Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/678","0","-1",
"676","PreviewHtml API usage throws an error","Raymondd","CLOSED","2017-02-04T00:09:43Z","2017-02-06T19:14:50Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/676","0","-1","MSSQL Preview Release 3"
"674","Executing USE statements in T-SQL does ","kevcunnane","CLOSED","2017-02-03T19:14:57Z","2017-02-08T21:26:23Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/674","1","-1",
"672","Go To Definition/Peek Definition not working on Stored Procedure or View on 0.2.1","renzska","CLOSED","2017-02-03T18:25:00Z","2017-05-02T21:52:47Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/672","5","-1",
"671","Tools Service Travis CI build on OSX frequently timing out","benrr101","CLOSED","2017-02-03T01:16:39Z","2019-11-05T23:30:52Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/671","1","-1",
"669","Results Panel not Refreshing Automatically","bijuchacko","CLOSED","2017-02-02T19:40:41Z","2017-02-03T02:29:26Z","","Bug","1","https://github.com/microsoft/vscode-mssql/issues/669","6","-1",
"668","Pasted columns into CSV in Excel from Results panel add extra blank column","kylehammond","CLOSED","2017-02-02T16:17:31Z","2017-02-08T21:49:56Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/668","1","-1",
"667","Cannot use Visual Studio Code (mssql extension) to connect to Azure SQL Data Warehouse","mjbvz","CLOSED","2017-02-02T02:44:08Z","2017-02-02T19:47:35Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/667","1","-1",
"666","Cannot connect to SQL Server","mjbvz","CLOSED","2017-02-02T02:40:43Z","2017-02-06T18:08:53Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/666","8","-1",
"663","Edition keyword highlighting ","Raymondd","CLOSED","2017-02-01T22:27:18Z","2017-02-01T23:48:33Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/663","0","-1","MSSQL Preview Release 3"
"660","Query execution not completing after toolsservice updates","Raymondd","CLOSED","2017-02-01T19:39:23Z","2017-02-01T22:54:18Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/660","0","-1","MSSQL Preview Release 3"
"659","Select all rows of result","lw-schick","CLOSED","2017-02-01T07:49:48Z","2019-09-16T21:03:35Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/659","4","-1",
"658","Syntax error for first Create DB property","Raymondd","CLOSED","2017-02-01T06:07:52Z","2021-08-27T20:06:54Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/658","6","-1",
"657","vscode.previewHtml command failing - promise not resolving if preview tab exists in Insiders build ","kevcunnane","CLOSED","2017-02-01T01:30:12Z","2017-02-02T19:48:33Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/657","1","-1",
"654","Adding support for creating connection profile from a connection string","llali","CLOSED","2017-01-31T19:02:13Z","2020-03-06T01:27:15Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/654","1","-1",
"653","Localization framework setup for sqltoolsservice","Raymondd","CLOSED","2017-01-31T18:20:17Z","2017-02-10T18:40:48Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/653","0","-1","MSSQL Preview Release 3"
"652","Columns misaligned on OS X ","mathsalmi","CLOSED","2017-01-30T15:19:48Z","2017-02-03T03:04:54Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/652","8","-1",
"651","[FEAT-REQ] Command execution event history","eByte23","CLOSED","2017-01-29T23:31:38Z","2020-01-28T01:08:12Z","","Feature Request","0","https://github.com/microsoft/vscode-mssql/issues/651","1","-1",
"649","Bug: XML column with NULL breaks grid","benrr101","CLOSED","2017-01-25T19:34:59Z","2017-01-27T23:38:58Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/649","0","-1",
"648","Support database objects for peek definition","sharonravindran","CLOSED","2017-01-25T04:05:41Z","2021-08-27T20:05:59Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/648","1","-1",
"645","Change connection database fails sometimes","llali","CLOSED","2017-01-24T20:54:38Z","2017-02-03T21:49:49Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/645","1","-1",
"644","Peek Definition does not work with table names when connected to master","sanagama","CLOSED","2017-01-24T20:17:10Z","2017-02-04T01:52:56Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/644","1","-1",
"643","Peek Definition does not work with database names when connected to master","sanagama","CLOSED","2017-01-24T20:12:33Z","2020-03-17T17:02:23Z","","Feature Request","0","https://github.com/microsoft/vscode-mssql/issues/643","1","-1",
"642","Please add option to output as text","taranttini","CLOSED","2017-01-24T19:18:25Z","2020-03-06T00:43:49Z","","Feature Request","0","https://github.com/microsoft/vscode-mssql/issues/642","3","-1",
"641","Localization framework setup for the extension","Raymondd","CLOSED","2017-01-23T18:22:25Z","2017-02-10T18:40:55Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/641","0","-1","MSSQL Preview Release 3"
"640","Let us copy result-messages","ferpega","CLOSED","2017-01-20T18:39:28Z","2017-01-23T23:54:46Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/640","2","-1",
"638","Add support for Dedicated Administrator Connection","sanagama","CLOSED","2017-01-20T17:50:59Z","2017-09-20T23:04:13Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/638","5","-1","MSSQL 1.2 Release"
"637","Task: Upgrade typescript to 2.1.5","Raymondd","CLOSED","2017-01-20T05:59:38Z","2017-01-23T18:46:59Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/637","0","-1","MSSQL Preview Release 3"
"635","Edit Data v1 API: edit/revertCell","benrr101","CLOSED","2017-01-20T00:25:26Z","2017-01-31T18:56:44Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/635","1","-1",
"634","Edit Data v1 API: edit/revertRow","benrr101","CLOSED","2017-01-20T00:24:38Z","2017-01-31T18:57:20Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/634","1","-1",
"633","Edit Data v1 API: edit/updateCell","benrr101","CLOSED","2017-01-20T00:23:42Z","2017-01-31T18:57:03Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/633","1","-1",
"632","Edit Data v1 API: edit/deleteRow","benrr101","CLOSED","2017-01-20T00:22:14Z","2017-01-31T18:53:40Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/632","1","-1",
"631","Edit Data v1 API: edit/createRow","benrr101","CLOSED","2017-01-20T00:20:04Z","2017-01-31T18:52:46Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/631","1","-1",
"629","Update NewQuery command to use the new VS code open document API ","llali","CLOSED","2017-01-19T19:02:58Z","2019-09-17T00:11:42Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/629","1","-1",
"627","No-Op execution stamp not updated","Raymondd","CLOSED","2017-01-19T00:02:05Z","2017-01-19T01:40:22Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/627","0","-1","MSSQL Preview Release 3"
"625","Tests: Update the service requests handler tests ","Raymondd","CLOSED","2017-01-18T06:58:16Z","2017-01-23T18:47:04Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/625","0","-1","MSSQL Preview Release 3"
"624","Repeated No-Ops cause inconsistent messages","Raymondd","CLOSED","2017-01-18T02:27:08Z","2017-01-18T03:36:52Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/624","1","-1","MSSQL Preview Release 3"
"623","Save as with selection - does not completely overwrite file if file already exists","sharonravindran","CLOSED","2017-01-18T00:47:22Z","2017-01-19T21:26:34Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/623","2","-1",
"622","Results grid resets scroll location and selection when resizing a column","ransagy","CLOSED","2017-01-17T10:18:29Z","2017-02-16T08:31:15Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/622","10","-1",
"621","Query hangs and cannot be cancelled when running from a file with no SQL to run","ransagy","CLOSED","2017-01-16T12:53:49Z","2017-01-17T19:36:32Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/621","1","-1",
"620","Save to JSON unable to save files","ransagy","CLOSED","2017-01-15T08:34:26Z","2017-01-18T23:47:44Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/620","1","-1",
"619","Feature. Object explorer","Yerkon","CLOSED","2017-01-15T08:10:40Z","2017-01-17T20:41:34Z","","Feature Request","0","https://github.com/microsoft/vscode-mssql/issues/619","1","-1",
"618","Feature. Displaying in IntelliSence table/column description","Yerkon","CLOSED","2017-01-15T08:04:59Z","2025-03-07T22:48:27Z","Query Editor","Feature Request","1","https://github.com/microsoft/vscode-mssql/issues/618","2","-1","Backlog"
"617","Feature. SQL code formatting","Yerkon","CLOSED","2017-01-15T07:54:25Z","2017-02-15T22:03:32Z","","Feature Request","1","https://github.com/microsoft/vscode-mssql/issues/617","1","-1",
"616","Trouble with extension","GhostBasenji","CLOSED","2017-01-14T11:23:54Z","2017-01-18T18:28:32Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/616","5","-1",
"614","Edit Data v1 API: enable editing on SlickGrid","coquagli","CLOSED","2017-01-13T19:33:18Z","2017-02-02T00:51:51Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/614","2","-1",
"613","Fix race condition in QueryRunner event handling ","coquagli","CLOSED","2017-01-13T19:22:48Z","2017-01-18T23:08:11Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/613","0","-1",
"612","Investigating integration test failures in mac","llali","CLOSED","2017-01-13T18:55:38Z","2017-04-24T20:37:12Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/612","0","-1",
"608","Edit Data v1 API: edit/dispose","benrr101","CLOSED","2017-01-12T20:21:33Z","2017-02-17T20:01:02Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/608","1","-1",
"607","Edit Data v1 API: edit/script","benrr101","CLOSED","2017-01-12T20:20:23Z","2017-02-17T20:01:02Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/607","1","-1",
"606","Edit Data v1 API: edit/updateFromFile","benrr101","CLOSED","2017-01-12T20:15:17Z","2017-02-17T20:01:02Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/606","2","-1",
"605","Edit Data v1 API: edit/updateRow","benrr101","CLOSED","2017-01-12T20:07:49Z","2017-01-20T00:29:06Z","",,"0","https://github.com/microsoft/vscode-mssql/issues/605","2","-1",
"603","Transactions for update no handled intutively","akharsh-tr","CLOSED","2017-01-12T08:56:36Z","2017-01-19T02:00:38Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/603","2","-1",
"602","HOST_NAME() does not work - client app does not provide the workstation name to the server","PierreRossouw","CLOSED","2017-01-11T23:45:22Z","2020-01-23T01:19:34Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/602","3","-1",
"601","STATISTICS Keyword formatting ","Raymondd","CLOSED","2017-01-11T21:45:29Z","2017-01-13T01:08:24Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/601","1","-1","MSSQL Preview Release 3"
